code_region,nom_region,meilleure_estimation_des_locaux_t2_2022,annee,trimestre,nombre_de_logements_raccordables
,Île-de-France,7180451.388412536,2017,4,3751000.0
,Centre-Val de Loire,1623810.9022613915,2017,4,274000.0
,Bourgogne-Franche-Comté,1825880.4693454427,2017,4,220000.0
,Normandie,2083571.8925923829,2017,4,376000.0
,Hauts-de-France,3288929.5296595893,2017,4,652000.0
,Grand Est,3379412.494233274,2017,4,614000.0
,Pays de la Loire,2403745.1265702206,2017,4,365000.0
,Bretagne,2237897.5016156817,2017,4,358000.0
,Nouvelle-Aquitaine,4142970.690017572,2017,4,655000.0
,Occitanie,4255336.006700608,2017,4,666000.0
,Auvergne-Rhône-Alpes,5338955.683308109,2017,4,1241000.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2017,4,830000.0
,Corse,288810.1737909364,2017,4,41000.0
,Île-de-France,7180451.388412536,2018,1,3919000.0
,Centre-Val de Loire,1623810.9022613915,2018,1,297000.0
,Bourgogne-Franche-Comté,1825880.4693454427,2018,1,245000.0
,Normandie,2083571.8925923829,2018,1,404000.0
,Hauts-de-France,3288929.5296595893,2018,1,739000.0
,Grand Est,3379412.494233274,2018,1,663000.0
,Pays de la Loire,2403745.1265702206,2018,1,392000.0
,Bretagne,2237897.5016156817,2018,1,391000.0
,Nouvelle-Aquitaine,4142970.690017572,2018,1,691000.0
,Occitanie,4255336.006700608,2018,1,712000.0
,Auvergne-Rhône-Alpes,5338955.683308109,2018,1,1323000.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2018,1,873000.0
,Corse,288810.1737909364,2018,1,44000.0
,Île-de-France,7180451.388412536,2018,2,4102000.0
,Centre-Val de Loire,1623810.9022613915,2018,2,319000.0
,Bourgogne-Franche-Comté,1825880.4693454427,2018,2,272000.0
,Normandie,2083571.8925923829,2018,2,430000.0
,Hauts-de-France,3288929.5296595893,2018,2,872000.0
,Grand Est,3379412.494233274,2018,2,723000.0
,Pays de la Loire,2403745.1265702206,2018,2,422000.0
,Bretagne,2237897.5016156817,2018,2,432000.0
,Nouvelle-Aquitaine,4142970.690017572,2018,2,747000.0
,Occitanie,4255336.006700608,2018,2,768000.0
,Auvergne-Rhône-Alpes,5338955.683308109,2018,2,1407000.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2018,2,918000.0
,Corse,288810.1737909364,2018,2,47000.0
,Île-de-France,7180451.388412536,2018,3,4233300.0
,Centre-Val de Loire,1623810.9022613915,2018,3,345000.0
,Bourgogne-Franche-Comté,1825880.4693454427,2018,3,293300.0
,Normandie,2083571.8925923829,2018,3,452600.0
,Hauts-de-France,3288929.5296595893,2018,3,999500.0
,Grand Est,3379412.494233274,2018,3,771000.0
,Pays de la Loire,2403745.1265702206,2018,3,453500.0
,Bretagne,2237897.5016156817,2018,3,463100.0
,Nouvelle-Aquitaine,4142970.690017572,2018,3,790300.0
,Occitanie,4255336.006700608,2018,3,813600.0
,Auvergne-Rhône-Alpes,5338955.683308109,2018,3,1481400.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2018,3,974400.0
,Corse,288810.1737909364,2018,3,48200.0
,Île-de-France,7180451.388412536,2018,4,4449200.0
